Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,Uma Sabapathy Allen,Haliotis rufescens (red abalone),2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.81171,,1,8/11/2025 21:21,dataset,10.1079/cabicompendium.81171,,,,,,,0,0,0,1,6,,,
32,"Fernando R Silva-Aciares, Paolo O Carvajal, Cristian A Mejías, Carlos E Riquelme","Use of macroalgae supplemented with probiotics in the Haliotis rufescens (Swainson, 1822) culture in Northern Chile",2010,Aquaculture Research,Hindawi Limited,https://doi.org/10.1111/j.1365-2109.2010.02678.x,,2,8/11/2025 21:21,journal-article,10.1111/j.1365-2109.2010.02678.x,1355-557X,,42,7,953,961,32,2.13,8,4,15,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2109.2010.02678.x,
0,Katherina Brokordt,Genetic Selection For Fast-Growing Traits Among Haliotis Rufescens Mollusks,2018,Science Trends,Science Trends,https://doi.org/10.31988/scitrends.16229,,3,8/11/2025 21:21,journal-article,10.31988/scitrends.16229,,,,,,,0,0,0,1,7,,,
23,,CRYOPRESERVATION OF SPERM OF RED ABALONE (HALIOTIS RUFESCENS),2005,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/0730-8000(2005)24[415:cosora]2.0.co;2,,4,8/11/2025 21:21,journal-article,10.2983/0730-8000(2005)24[415:cosora]2.0.co;2,0730-8000,,24,2,415,420,23,1.15,0,0,20,,,
4,"Malina M. Loeher, James D. Moore",Foot injury survival in red abalone (Haliotis rufescens),2020,Aquaculture,Elsevier BV,https://doi.org/10.1016/j.aquaculture.2020.735734,,5,8/11/2025 21:21,journal-article,10.1016/j.aquaculture.2020.735734,0044-8486,,529,,735734,735734,4,0.8,2,2,5,,https://api.elsevier.com/content/article/PII:S0044848620318366,
13,"Roxana C. González, Katherina Brokordt, Karin B. Lohrmann",Physiological performance of juvenile Haliotis rufescens and Haliotis discus hannai abalone exposed to the withering syndrome agent,2012,Journal of Invertebrate Pathology,Elsevier BV,https://doi.org/10.1016/j.jip.2012.05.005,,6,8/11/2025 21:21,journal-article,10.1016/j.jip.2012.05.005,0022-2011,,111,1,20,26,13,1,4,3,13,,https://api.elsevier.com/content/article/PII:S0022201112001401,
8,"Gabriel Amar-Basulto, Fabiola Lafarga-De la Cruz, Patricia Iturra-Constant, Cristian Gallardo-Escárate",Karyotype analysis of interspecific hybrids between Haliotis rufescens and Haliotis discus HANNAI,2011,Aquaculture Research,Hindawi Limited,https://doi.org/10.1111/j.1365-2109.2010.02738.x,,7,8/11/2025 21:21,journal-article,10.1111/j.1365-2109.2010.02738.x,1355-557X,,42,10,1460,1466,8,0.57,2,4,14,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2109.2010.02738.x,
8,"Fabiola Lafarga-de la Cruz, Andrea Aguilar-Espinoza, Cristian Gallardo-Escárate",Parentage assignment in hybrid abalones (<i>Haliotis rufescens</i> × <i>Haliotis discus hannai</i>) based on microsatellite DNA markers,2013,Aquaculture Research,Hindawi Limited,https://doi.org/10.1111/are.12169,,8,8/11/2025 21:21,journal-article,10.1111/are.12169,1355-557X,,46,1,216,225,8,0.67,3,3,12,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fare.12169,
50,M Viant,Sublethal actions of copper in abalone (Haliotis rufescens) as characterized by in vivo 31P NMR,2002,Aquatic Toxicology,Elsevier BV,https://doi.org/10.1016/s0166-445x(01)00195-3,,9,8/11/2025 21:21,journal-article,10.1016/s0166-445x(01)00195-3,0166-445X,,57,3,139,151,50,2.17,50,1,23,,https://api.elsevier.com/content/article/PII:S0166-445X(01)00195-3,
14,"Roxana González, Karin B. Lohrmann, Javiera Pizarro, Katherina Brokordt","Differential susceptibility to the Withering Syndrome agent and renal coccidia in juvenile Haliotis rufescens, Haliotis discus hannai and the interspecific hybrid",2014,Journal of Invertebrate Pathology,Elsevier BV,https://doi.org/10.1016/j.jip.2013.12.002,,10,8/11/2025 21:21,journal-article,10.1016/j.jip.2013.12.002,0022-2011,,116,,13,17,14,1.27,4,4,11,,https://api.elsevier.com/content/article/PII:S0022201113001766,
