"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Correspondence Address","Document Type","Publication Stage","Open Access","Source","EID"
"Silva M.C.; Catry P.; Bried J.; Kawakami K.; Flint E.; Granadeiro J.P.","Silva, Mónica C. (7403410354); Catry, Paulo (7003725276); Bried, Joël (6603672600); Kawakami, Kazuto (35336870300); Flint, Elizabeth (7005238958); Granadeiro, José P. (6603758245)","7403410354; 7003725276; 6603672600; 35336870300; 7005238958; 6603758245","Contrasting patterns of population structure of Bulwer’s petrel (Bulweria bulwerii) between oceans revealed by statistical phylogeography","2023","Scientific Reports","13","1","1939","","","","0","10.1038/s41598-023-28452-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147318461&doi=10.1038%2fs41598-023-28452-z&partnerID=40&md5=604b899d5b310bb198b39d027b3a0492","Departamento de Biologia Animal, Faculdade de Ciências, cE3c - Centre for Ecology, Evolution and Environmental Changes and CHANGE – Global Change and Sustainability Institute, Universidade de Lisboa, Campo Grande, Lisbon, 1749-016, Portugal; MARE - Marine and Environment Sciences Centre / ARNET - Aquatic Research Network, Ispa - Instituto Universitário, Rua Jardim do Tabaco 34, Lisboa, 1149-041, Portugal; Departamento de Oceanografia E Pescas, IMAR and LARSyS Associated Lab, Centro Okeanos, MARE (Marine and Environmental Sciences Centre), Universidade Dos Açores, Horta, Azores, 9901-862, Portugal; Laboratory of Wildlife Ecology, Forestry and Forest Products Research Institute (FFPRI), 1 Matsunosato, Ibaraki, Tsukuba, 305-8687, Japan; Pacific Islands Refuges and Monuments Office, US Fish and Wildlife Services, Washington, DC, United States; Departamento de Biologia Animal, Faculdade de Ciências, CESAM - Centre for Environmental and Marine Studies, Universidade de Lisboa, Campo Grande, Lisbon, 1749-016, Portugal; Biarritz, 64200, France","Silva M.C., Departamento de Biologia Animal, Faculdade de Ciências, cE3c - Centre for Ecology, Evolution and Environmental Changes and CHANGE – Global Change and Sustainability Institute, Universidade de Lisboa, Campo Grande, Lisbon, 1749-016, Portugal; Catry P., MARE - Marine and Environment Sciences Centre / ARNET - Aquatic Research Network, Ispa - Instituto Universitário, Rua Jardim do Tabaco 34, Lisboa, 1149-041, Portugal; Bried J., Departamento de Oceanografia E Pescas, IMAR and LARSyS Associated Lab, Centro Okeanos, MARE (Marine and Environmental Sciences Centre), Universidade Dos Açores, Horta, Azores, 9901-862, Portugal, Biarritz, 64200, France; Kawakami K., Laboratory of Wildlife Ecology, Forestry and Forest Products Research Institute (FFPRI), 1 Matsunosato, Ibaraki, Tsukuba, 305-8687, Japan; Flint E., Pacific Islands Refuges and Monuments Office, US Fish and Wildlife Services, Washington, DC, United States; Granadeiro J.P., Departamento de Biologia Animal, Faculdade de Ciências, CESAM - Centre for Environmental and Marine Studies, Universidade de Lisboa, Campo Grande, Lisbon, 1749-016, Portugal","","M.C. Silva; Departamento de Biologia Animal, Faculdade de Ciências, cE3c - Centre for Ecology, Evolution and Environmental Changes and CHANGE – Global Change and Sustainability Institute, Universidade de Lisboa, Campo Grande, Lisbon, 1749-016, Portugal; email: mssilva@fc.ul.pt","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147318461"
"Gíslason D.; Estévez-Barcia D.; Sveinsson S.; Hansen A.; Roy D.; Treble M.; Boje J.; Vihtakari M.; Elvarsson B.Þ.; Hedges K.; Hallfredsson E.H.; Johansen T.","Gíslason, Davíð (57211943081); Estévez-Barcia, Daniel (57989471900); Sveinsson, Sæmundur (55286815900); Hansen, Agneta (57372128300); Roy, Denis (23095810400); Treble, Margaret (6507187121); Boje, Jesper (6602952205); Vihtakari, Mikko (26422650900); Elvarsson, Bjarki Þór (57192306196); Hedges, Kevin (7004129679); Hallfredsson, Elvar H. (15725000800); Johansen, Torild (7202347318)","57211943081; 57989471900; 55286815900; 57372128300; 23095810400; 6507187121; 6602952205; 26422650900; 57192306196; 7004129679; 15725000800; 7202347318","Population structure discovered in juveniles of Greenland halibut (Reinhardtius hippoglossoides Walbaum, 1792)","2023","ICES Journal of Marine Science","80","4","","889","896","7","1","10.1093/icesjms/fsad011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163011569&doi=10.1093%2ficesjms%2ffsad011&partnerID=40&md5=12de6de1e498692544416de30692d57e","Matís Ltd, Vínlandsleið 12, Reykjavík, 113, Iceland; Greenland Institute of Natural Resources, Kivioq 2, Nuuk, 3900, Greenland; Institute of Marine Research, Framsenteret, Hjalmar Johansensgate 14, Tromsø, 9007, Norway; McGill University, Department of Natural Resource Sciences, 21111 Lakeshore Road, Ste-Anne-de-Bellevue, H9×3V9, QC, Canada; Fisheries and Oceans Canada, 501 University Crescent, Winnipeg, R3T 2N6, MB, Canada; National Institute of Aquatic Resources (DTU Aqua), Kemitorvet, Building 201, Kgs Lyngby, 2800, Denmark; Marine and Freshwater Research Institute, Demersal Division, Hafnarfjörður, 220, Iceland","Gíslason D., Matís Ltd, Vínlandsleið 12, Reykjavík, 113, Iceland; Estévez-Barcia D., Greenland Institute of Natural Resources, Kivioq 2, Nuuk, 3900, Greenland; Sveinsson S., Matís Ltd, Vínlandsleið 12, Reykjavík, 113, Iceland; Hansen A., Institute of Marine Research, Framsenteret, Hjalmar Johansensgate 14, Tromsø, 9007, Norway; Roy D., McGill University, Department of Natural Resource Sciences, 21111 Lakeshore Road, Ste-Anne-de-Bellevue, H9×3V9, QC, Canada; Treble M., Fisheries and Oceans Canada, 501 University Crescent, Winnipeg, R3T 2N6, MB, Canada; Boje J., Greenland Institute of Natural Resources, Kivioq 2, Nuuk, 3900, Greenland, National Institute of Aquatic Resources (DTU Aqua), Kemitorvet, Building 201, Kgs Lyngby, 2800, Denmark; Vihtakari M., Institute of Marine Research, Framsenteret, Hjalmar Johansensgate 14, Tromsø, 9007, Norway; Elvarsson B.Þ., Marine and Freshwater Research Institute, Demersal Division, Hafnarfjörður, 220, Iceland; Hedges K., Fisheries and Oceans Canada, 501 University Crescent, Winnipeg, R3T 2N6, MB, Canada; Hallfredsson E.H., Institute of Marine Research, Framsenteret, Hjalmar Johansensgate 14, Tromsø, 9007, Norway; Johansen T., Institute of Marine Research, Framsenteret, Hjalmar Johansensgate 14, Tromsø, 9007, Norway","Disko Bay; Frobisher Bay; GBS; juvenile habitat; single nucleotide polymorphism; Svalbard","T. Johansen; Institute of Marine Research, Framsenteret, Tromsø, Hjalmar Johansensgate 14, 9007, Norway; email: torild.johansen@hi.no","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85163011569"
"Tavakoli-Kolour P.; Farhadi A.; Ajdari A.; Bagheri D.; Hazraty-Kari S.; Ghasemi A.; Vazirzadeh A.","Tavakoli-Kolour, Parviz (56378635900); Farhadi, Ahmad (52563459300); Ajdari, Ashkan (57222060304); Bagheri, Dara (57193484545); Hazraty-Kari, Sanaz (57196470231); Ghasemi, Ahmad (16549579700); Vazirzadeh, Arya (24333528700)","56378635900; 52563459300; 57222060304; 57193484545; 57196470231; 16549579700; 24333528700","Genetic species identification and population structure of grouper Epinephelus coioides (Hamilton, 1822) collected from fish markets along the Persian Gulf and the Oman Sea","2022","PeerJ","10","","e14179","","","","0","10.7717/peerj.14179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140335955&doi=10.7717%2fpeerj.14179&partnerID=40&md5=b2ae72dfa3e8d843094361d9a6b93131","Graduate School of Engineering and Science, University of the Ryukyus, Okinawa, Japan; Department of Natural Resources and Environmental Engineering, College of Agriculture, Shiraz University, Shiraz, Iran; Offshore Fisheries Research Center, Iranian Fisheries Science Research Institute, Chabahar, Iran; Department of Fisheries, Faculty of Nano and Bio Science and Technology, Persian Gulf University, Bushehr, Iran; Department of Fisheries and Biology, Persian Gulf Research Institute, Persian Gulf University, Bushehr, Iran","Tavakoli-Kolour P., Graduate School of Engineering and Science, University of the Ryukyus, Okinawa, Japan; Farhadi A., Department of Natural Resources and Environmental Engineering, College of Agriculture, Shiraz University, Shiraz, Iran; Ajdari A., Offshore Fisheries Research Center, Iranian Fisheries Science Research Institute, Chabahar, Iran; Bagheri D., Department of Fisheries, Faculty of Nano and Bio Science and Technology, Persian Gulf University, Bushehr, Iran; Hazraty-Kari S., Graduate School of Engineering and Science, University of the Ryukyus, Okinawa, Japan; Ghasemi A., Department of Fisheries and Biology, Persian Gulf Research Institute, Persian Gulf University, Bushehr, Iran; Vazirzadeh A., Department of Natural Resources and Environmental Engineering, College of Agriculture, Shiraz University, Shiraz, Iran","D-loop; Epinephelus coioides; Genetic structure; Misidentification; Oman Sea; Persian Gulf","P. Tavakoli-Kolour; Graduate School of Engineering and Science, University of the Ryukyus, Okinawa, Japan; email: p.tavakoli@hotmail.com; A. Farhadi; Department of Natural Resources and Environmental Engineering, College of Agriculture, Shiraz University, Shiraz, Iran; email: afar874@aucklanduni.ac.nz","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140335955"
"Octavina C.; Ramadhaniaty M.; Daulay R.E.; Dewiyanti I.; Ulfah M.","Octavina, Chitra (56951219900); Ramadhaniaty, Mutia (57201995211); Daulay, Rahma Effendie (58523559700); Dewiyanti, Irma (56140589200); Ulfah, Maria (57201342758)","56951219900; 57201995211; 58523559700; 56140589200; 57201342758","Genetic variation and population structure of brachiopods, Lingula anatina Lamarck, 1801 in the Northern Aceh shore, Indonesia","2023","Biodiversitas","24","7","","3951","3959","8","0","10.13057/biodiv/d240733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166743359&doi=10.13057%2fbiodiv%2fd240733&partnerID=40&md5=2c8582dcbb4b83b7875577e785e92e90","Department of Marine Science, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia; Laboratory of Marine Biology, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia; Laboratory of Genetics and Aquatic Biodiversity, Faculty of Marine and Fisheries Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia","Octavina C., Department of Marine Science, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia, Laboratory of Marine Biology, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia; Ramadhaniaty M., Department of Marine Science, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia, Laboratory of Genetics and Aquatic Biodiversity, Faculty of Marine and Fisheries Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia; Daulay R.E., Department of Marine Science, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia; Dewiyanti I., Department of Marine Science, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia, Laboratory of Marine Biology, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia; Ulfah M., Department of Marine Science, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia, Laboratory of Marine Biology, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Jl. Teuku Nyak Arief No. 44, Aceh, Banda Aceh, 23111, Indonesia","Geographic; Lingulidae; marine invertebrate; mitochondrial genome; phylogenetic","C. Octavina; Department of Marine Science, Faculty of Marine Science and Fisheries, Universitas Syiah Kuala., Banda Aceh, Jl. Teuku Nyak Arief No. 44, Aceh, 23111, Indonesia; email: chitraoctavina@usk.ac.id","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166743359"
"Ding F.; Gu S.; Yi M.-R.; Yan Y.-R.; Wang W.-K.; Tung K.-C.","Ding, Fang (57204519916); Gu, Sui (57211950468); Yi, Mu-Rong (57193902456); Yan, Yun-Rong (37079650500); Wang, Wei-Kuang (8258934800); Tung, Kwong-Chung (7102202023)","57204519916; 57211950468; 57193902456; 37079650500; 8258934800; 7102202023","Demographic history and population genetic structure of Anisakis pegreffii in the cutlassfish Trichiurus japonicus along the coast of mainland China and Taiwan","2022","Parasitology Research","121","10","","2803","2816","13","1","10.1007/s00436-022-07611-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135284337&doi=10.1007%2fs00436-022-07611-7&partnerID=40&md5=6339f9a2f0e0612980d390175462c90d","Department of Veterinary Medicine, College of Veterinary Medicine, National Chung Hsing University, Taichung, 402, Taiwan; College of Fisheries, Guangdong Ocean University, Zhanjiang, 524088, China; Southern Marine Science and Engineering Guangdong Laboratory (Zhanjiang), Zhanjiang, 524013, China; Center of Marine Fisheries Information and Technology, Shenzhen Institute of Guangdong Ocean University, Shenzhen, 518120, China; Department of Environmental Engineering and Science, Feng Chia University, Taichung, 407, Taiwan","Ding F., Department of Veterinary Medicine, College of Veterinary Medicine, National Chung Hsing University, Taichung, 402, Taiwan; Gu S., College of Fisheries, Guangdong Ocean University, Zhanjiang, 524088, China; Yi M.-R., College of Fisheries, Guangdong Ocean University, Zhanjiang, 524088, China; Yan Y.-R., College of Fisheries, Guangdong Ocean University, Zhanjiang, 524088, China, Southern Marine Science and Engineering Guangdong Laboratory (Zhanjiang), Zhanjiang, 524013, China, Center of Marine Fisheries Information and Technology, Shenzhen Institute of Guangdong Ocean University, Shenzhen, 518120, China; Wang W.-K., Department of Environmental Engineering and Science, Feng Chia University, Taichung, 407, Taiwan; Tung K.-C., Department of Veterinary Medicine, College of Veterinary Medicine, National Chung Hsing University, Taichung, 402, Taiwan","Anisakis pegreffii; Approximate Bayesian computation; Mitochondria; Population genetics; Trichiurus japonicas","K.-C. Tung; Department of Veterinary Medicine, College of Veterinary Medicine, National Chung Hsing University, Taichung, 402, Taiwan; email: vettung@gmail.com","Article","Final","","Scopus","2-s2.0-85135284337"
"Tsuchiya K.; Zayasu Y.; Nakajima Y.; Arakaki N.; Suzuki G.; Satoh N.; Shinzato C.","Tsuchiya, Kojin (57878699300); Zayasu, Yuna (55780350100); Nakajima, Yuichi (36239003100); Arakaki, Nana (55786991300); Suzuki, Go (23988070000); Satoh, Noriyuki (35406246000); Shinzato, Chuya (16204013600)","57878699300; 55780350100; 36239003100; 55786991300; 23988070000; 35406246000; 16204013600","Genomic analysis of a reef-building coral, Acropora digitifera, reveals complex population structure and a migration network in the Nansei Islands, Japan","2022","Molecular Ecology","31","20","","5270","5284","14","2","10.1111/mec.16665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137528831&doi=10.1111%2fmec.16665&partnerID=40&md5=ecf3a4098d2faddd20d92a68a9425e0c","Atmosphere and Ocean Research Institute, The University of Tokyo, Kashiwa, Japan; Marine Genomics Unit, Okinawa Institute of Science and Technology Graduate University, Onna, Japan; Center for Climate Change Adaptation, National Institute for Environmental Studies, Tsukuba, Japan; DNA Sequencing Section, Okinawa Institute of Science and Technology Graduate University, Onna, Japan; Fisheries Technology Institute, Japan Fisheries Research and Education Agency, Ishigaki, Japan","Tsuchiya K., Atmosphere and Ocean Research Institute, The University of Tokyo, Kashiwa, Japan; Zayasu Y., Marine Genomics Unit, Okinawa Institute of Science and Technology Graduate University, Onna, Japan; Nakajima Y., Center for Climate Change Adaptation, National Institute for Environmental Studies, Tsukuba, Japan; Arakaki N., DNA Sequencing Section, Okinawa Institute of Science and Technology Graduate University, Onna, Japan; Suzuki G., Fisheries Technology Institute, Japan Fisheries Research and Education Agency, Ishigaki, Japan; Satoh N., Marine Genomics Unit, Okinawa Institute of Science and Technology Graduate University, Onna, Japan; Shinzato C., Atmosphere and Ocean Research Institute, The University of Tokyo, Kashiwa, Japan","conservation genetics; genome-wide SNPs; population genetics; Scleractinia","C. Shinzato; Atmosphere and Ocean Research Institute, The University of Tokyo, Kashiwa, Japan; email: c.shinzato@aori.u-tokyo.ac.jp","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85137528831"
"Preston R.; Blomster J.; Schagerström E.; Seppä P.","Preston, Roxana (57912758800); Blomster, Jaanika (6602931637); Schagerström, Ellen (56829483000); Seppä, Perttu (7003980396)","57912758800; 6602931637; 56829483000; 7003980396","Clonality, polyploidy and spatial population structure in Baltic Sea Fucus vesiculosus","2022","Ecology and Evolution","12","9","e9336","","","","4","10.1002/ece3.9336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139096193&doi=10.1002%2fece3.9336&partnerID=40&md5=bab8773a6c4dbc6b702cbdef22439b39","Ecosystems and Environment Research Programme, Faculty of Biological and Environmental Sciences, University of Helsinki, Helsinki, Finland; Tvärminne Zoological Station, University of Helsinki, Hanko, Finland; Department of Ecology, Environment and Plant Sciences, Stockholm University, Stockholm, Sweden; Stockholm University Baltic Sea Centre, Stockholm University, Stockholm, Sweden; Organismal and Evolutionary Biology Research Programme, Faculty of Biological and Environmental Sciences, University of Helsinki, Helsinki, Finland","Preston R., Ecosystems and Environment Research Programme, Faculty of Biological and Environmental Sciences, University of Helsinki, Helsinki, Finland, Tvärminne Zoological Station, University of Helsinki, Hanko, Finland; Blomster J., Ecosystems and Environment Research Programme, Faculty of Biological and Environmental Sciences, University of Helsinki, Helsinki, Finland; Schagerström E., Department of Ecology, Environment and Plant Sciences, Stockholm University, Stockholm, Sweden, Stockholm University Baltic Sea Centre, Stockholm University, Stockholm, Sweden; Seppä P., Organismal and Evolutionary Biology Research Programme, Faculty of Biological and Environmental Sciences, University of Helsinki, Helsinki, Finland","algae; clonal growth; gene flow; genetic diversity; mixed-ploidy; reproductive mode","R. Preston; Ecosystems and Environment Research Programme, Faculty of Biological and Environmental Sciences, University of Helsinki, Helsinki, Finland; email: roxana.preston@helsinki.fi","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85139096193"
"Wang Q.; Yu S.; Ren H.; Tang J.; Gao J.; Li X.; Fu Z.; He Z.","Wang, Qinglin (58442930500); Yu, Shanshan (55741372400); Ren, Hai (57205242547); Tang, Jiabao (58251252500); Gao, Jijun (58251890400); Li, Xueyu (58250818200); Fu, Zhong (58251039200); He, Zhenping (58250602600)","58442930500; 55741372400; 57205242547; 58251252500; 58251890400; 58250818200; 58251039200; 58250602600","Genetic diversity and population structure of the endangered Japanese sea cucumber (Apostichopus japonicus) in natural seas of northern China","2023","Aquaculture Reports","30","","101595","","","","0","10.1016/j.aqrep.2023.101595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159484054&doi=10.1016%2fj.aqrep.2023.101595&partnerID=40&md5=94253ef04a484239b8cf5918888b8b2b","Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China; Marine Living Resources and Environment Key Laboratory of Hebei Province, Qinhuangdao, 066600, China","Wang Q., Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China, Marine Living Resources and Environment Key Laboratory of Hebei Province, Qinhuangdao, 066600, China; Yu S., Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China; Ren H., Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China; Tang J., Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China; Gao J., Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China; Li X., Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China; Fu Z., Marine Living Resources and Environment Key Laboratory of Hebei Province, Qinhuangdao, 066600, China; He Z., Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China","Apostichopus japonicus; Genetic diversity; Natural seas; Population structure","S. Yu; Hebei Key Laboratory for Ocean Dynamics, Resources and Environments, Qinhuangdao, 066600, China; email: shanshineyu@126.com","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159484054"
"Steinmetz K.; Murphy S.; Cadhla O.Ó.; Carroll E.L.; Onoufriou A.B.; Russell D.J.F.; Cronin M.; Mirimin L.","Steinmetz, Kristina (57221227838); Murphy, Sinéad (7402779296); Cadhla, Oliver Ó. (22033471200); Carroll, Emma L. (23093312600); Onoufriou, Aubrie B. (57193950354); Russell, Debbie J. F. (28167828300); Cronin, Michelle (7203084971); Mirimin, Luca (13611666400)","57221227838; 7402779296; 22033471200; 23093312600; 57193950354; 28167828300; 7203084971; 13611666400","Population structure and genetic connectivity reveals distinctiveness of Irish harbour seals (Phoca vitulina) and implications for conservation management","2023","Aquatic Conservation: Marine and Freshwater Ecosystems","33","2","","160","178","18","0","10.1002/aqc.3909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145304824&doi=10.1002%2faqc.3909&partnerID=40&md5=2884d50f15c599058fec9e533250ef4b","Marine and Freshwater Research Centre, Department of Natural Resources & the Environment, School of Science and Computing, Atlantic Technological University (ATU), Galway, Ireland; Marine Environment Section, Department of Housing, Local Government and Heritage, Cork, Ireland; School of Biological Sciences, University of Auckland, Auckland, New Zealand; Sea Mammal Research Unit, School of Biology, University of St Andrews, Fife, United Kingdom; Universidad de La Laguna, San Cristóbal de La Laguna, Spain; MaREI Centre, Environmental Research Institute, University College Cork, Cork, Ireland","Steinmetz K., Marine and Freshwater Research Centre, Department of Natural Resources & the Environment, School of Science and Computing, Atlantic Technological University (ATU), Galway, Ireland; Murphy S., Marine and Freshwater Research Centre, Department of Natural Resources & the Environment, School of Science and Computing, Atlantic Technological University (ATU), Galway, Ireland; Cadhla O.Ó., Marine Environment Section, Department of Housing, Local Government and Heritage, Cork, Ireland; Carroll E.L., School of Biological Sciences, University of Auckland, Auckland, New Zealand, Sea Mammal Research Unit, School of Biology, University of St Andrews, Fife, United Kingdom; Onoufriou A.B., Sea Mammal Research Unit, School of Biology, University of St Andrews, Fife, United Kingdom, Universidad de La Laguna, San Cristóbal de La Laguna, Spain; Russell D.J.F., Sea Mammal Research Unit, School of Biology, University of St Andrews, Fife, United Kingdom; Cronin M., MaREI Centre, Environmental Research Institute, University College Cork, Cork, Ireland; Mirimin L., Marine and Freshwater Research Centre, Department of Natural Resources & the Environment, School of Science and Computing, Atlantic Technological University (ATU), Galway, Ireland","genetics; management unit; marine mammal; microsatellite loci; mtDNA; non-invasive sampling; Phoca vitulina; seals","K. Steinmetz; Marine and Freshwater Research Centre, Department of Natural Resources & the Environment, School of Science and Computing, Atlantic Technological University (ATU), Galway, Dublin Road, H91 T8NW, Ireland; email: kristina.steinmetz@research.gmit.ie","Article","Final","","Scopus","2-s2.0-85145304824"
"Morrissey D.; Goodall J.; Castilho R.; Cameron T.C.; Taylor M.L.","Morrissey, Declan (57216423408); Goodall, Jake (56308355700); Castilho, Rita (56271196600); Cameron, Tom C. (7101641467); Taylor, Michelle L. (56291803900)","57216423408; 56308355700; 56271196600; 7101641467; 56291803900","Population genomics reveals a single semi-continuous population of a commercially exploited marine gastropod","2022","Fisheries Research","254","","106418","","","","4","10.1016/j.fishres.2022.106418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133493955&doi=10.1016%2fj.fishres.2022.106418&partnerID=40&md5=60fef8a089c46c8cf44e6629cf141aff","Ryan Institute & School of Natural Sciences, National University of Ireland Galway, University Road, Galway, Ireland; School of Life Sciences, University of Essex, Colchester, United Kingdom; Faculty of Life and Environmental Sciences, University of Iceland, Reykjavík, Iceland; Centre of Marine Sciences, CCMAR & Universidade do Algarve, Faro, Portugal","Morrissey D., Ryan Institute & School of Natural Sciences, National University of Ireland Galway, University Road, Galway, Ireland, School of Life Sciences, University of Essex, Colchester, United Kingdom; Goodall J., Faculty of Life and Environmental Sciences, University of Iceland, Reykjavík, Iceland; Castilho R., Centre of Marine Sciences, CCMAR & Universidade do Algarve, Faro, Portugal; Cameron T.C., School of Life Sciences, University of Essex, Colchester, United Kingdom; Taylor M.L., School of Life Sciences, University of Essex, Colchester, United Kingdom","ddRAD Sequencing; Fisheries management; Population genetic structure; Relatedness; Whelk","D. Morrissey; National University of Ireland Galway, Galway, Martin Ryan Building, H91 TK33, Ireland; email: d.morrissey4@nuigalway.ie","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85133493955"
